,Feature,Importance
37,form,937.9210815429688
39,value_form,658.4807739257812
4,season_minutes_portion_Low,563.689697265625
42,status_a,338.06231689453125
36,selected_by_percent,178.659912109375
5,season_minutes_portion_Medium,173.45364379882812
52,opponent_strength,154.7513427734375
34,chance_of_playing_this_round,140.45510864257812
35,now_cost,139.45443725585938
44,status_i,134.59967041015625
53,opponent_elo,106.40227508544922
41,points_per_game,102.80879211425781
46,team_strength,93.89454650878906
47,team_elo,86.43684387207031
49,team_fixture_elo,78.29742431640625
50,opponent_fixture_elo,77.54280853271484
14,season_shots_on_target_per90,74.26935577392578
11,season_xg_per90,72.89583587646484
43,status_d,72.48494720458984
51,fixture_elo_difference,72.41431427001953
